label,json_file,FieldName,CycleLength_d,Permeability_mD,Pressure_bar,PredictedRF,n_rf_values,RF_denominator,excluded_development_injection_H2,RF_01,RF_02,RF_03,RF_04,RF_05,RF_06,RF_07,RF_08,RF_09,RF_10,RF_11,RF_12,RF_13,RF_14,RF_15,delta_RF_15_minus_10
H2-1083044-133-90-129-323-20-1.54,H2-1083044-133-90-129-323-20-1.54.json,,,,,,15,operational_injection_only,-4568759526.6184025,0.9737853300046279,0.9540660775211565,0.9409498566141358,0.9329081090061397,0.9286333207131079,0.9248207311633854,0.9221818590534347,0.9203173296409038,0.9186997584150445,0.9179703000534722,0.9172812049755682,0.9171967552370445,0.916831166216757,0.9164401911734971,0.9159723057827462,-0.001997994270726
H2-1131214-175-61-131-317-16-1.76,H2-1131214-175-61-131-317-16-1.76.json,,,,,,15,operational_injection_only,-7160042408.835645,0.9850461555717163,0.9719941995418633,0.9613023771356828,0.9549933676357664,0.9490744334571455,0.9461129897650619,0.942816098917453,0.9413010447854756,0.939326773064833,0.9385709617138397,0.9379948883093411,0.9369629065671902,0.9369271825434914,0.9362776598761512,0.9360251713292719,-0.0025457903845678143
H2-1146138-73-103-307-361-7-3.92,H2-1146138-73-103-307-361-7-3.92.json,,,,,,15,operational_injection_only,-6736658401.825612,0.9598965847678441,0.9296032273622511,0.9119164455924683,0.896785676289311,0.8888845230354782,0.8837123377293841,0.8802363424959813,0.8768524054995298,0.8740787595118484,0.8726154301214902,0.8714765805797171,0.8705960828578555,0.8699190330258358,0.8694032403394713,0.8687185953583526,-0.0038968347631376243
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,,,,,15,operational_injection_only,-1383198251.3621995,0.9693264736406025,0.9439219297734419,0.9258107619385951,0.9129664112266072,0.9035702637575687,0.8958900748200269,0.8906458031239566,0.8864744666053141,0.8833478550316937,0.8805604734840586,0.8782651139903109,0.8763528701925912,0.874745520493966,0.8733844643642588,0.8721878512182012,-0.008372622265857443
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,,,,,15,operational_injection_only,-5790071599.255603,0.9629568849815169,0.939181081553078,0.9208401376272827,0.908764029482697,0.9002768390896935,0.8940978976475698,0.8894633328153914,0.8861302800073737,0.8832987720899749,0.8810524581463389,0.8792442988006395,0.8777731546473697,0.8765662473737854,0.8760418336034189,0.8751228540131126,-0.005929604133226296
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,,,,,15,operational_injection_only,-688924038.6843643,0.8834352675137994,0.8475623546848382,0.8295388730202807,0.818613370651086,0.8131368846215685,0.8095072942036677,0.8059776566075386,0.8042377052986496,0.8030089744783955,0.8021761348758368,0.8015819452374666,0.8013322445263364,0.8007501674599944,0.8007766629091891,0.8004274809356275,-0.0017486539402092882
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,,,,,15,operational_injection_only,-1955310003.4123645,0.8954538586089956,0.8593919484688676,0.839332333332408,0.8297805109289371,0.8237773529560602,0.8187952425686641,0.8162737218203472,0.8144955882187145,0.8132378780836481,0.811751697444754,0.8112251312613619,0.8110046712788442,0.8107665605670644,0.8105194656649706,0.8104384239788994,-0.0013132734658545253
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,,,,,15,operational_injection_only,-2145415059.6728098,0.8097049949627849,0.7837462983885864,0.7741122568317335,0.7687274078205916,0.7661460316482139,0.7652099925043693,0.7657939535661319,0.7656359200806451,0.7658375813163537,0.7662537847428178,0.7673151554980128,0.7678792030235063,0.7685200347456548,0.7692758066044845,0.7697220755165378,0.0034682907737200175
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,,,,,15,operational_injection_only,-526515702.07973117,0.9600603535272692,0.9347357275814449,0.9175002426935978,0.9054177060765329,0.8966439624205028,0.8900763444854068,0.8850363294548578,0.881089612149338,0.8779476015358911,0.8754120936311134,0.8733430138633943,0.8716388924956936,0.8702246324824033,0.8690436054349443,0.8678918424393395,-0.007520251191773908
H2-495964-20-54-158-319-15-2.38,H2-495964-20-54-158-319-15-2.38.json,,,,,,15,operational_injection_only,-485008762.17475164,0.9694217770697751,0.9502915288534245,0.9368817072796864,0.9274607854401139,0.9206308485471367,0.9155451305765607,0.9116756515268254,0.9086807459296801,0.9071178885976003,0.9051276532625423,0.9035508499619519,0.9022884428683674,0.9012721227031235,0.9004517713468205,0.8996158664404241,-0.00551178682211817
H2-652315-161-108-115-319-7-2.46,H2-652315-161-108-115-319-7-2.46.json,,,,,,15,operational_injection_only,-5305018413.595495,0.9656122879156163,0.9377822724188395,0.9210628804594538,0.9127628419291097,0.9061333870792865,0.9018028360253453,0.8988918082530756,0.8976589768662638,0.8961020349027572,0.8950501295855708,0.895155487924818,0.8945984015955006,0.8946371861448752,0.8944248097640973,0.8947101970321212,-0.0003399325534496622
