label,json_file,FieldName,cycle,baseline_cycle,RF_baseline,RF,delta_RF,delta_RF_percent
H2-1083044-133-90-129-323-20-1.54,H2-1083044-133-90-129-323-20-1.54.json,,10,10,0.9179703000534722,0.9179703000534722,0.0,0.0
H2-1083044-133-90-129-323-20-1.54,H2-1083044-133-90-129-323-20-1.54.json,,11,10,0.9179703000534722,0.9172812049755682,-0.000689095077904045,-0.07506725194310805
H2-1083044-133-90-129-323-20-1.54,H2-1083044-133-90-129-323-20-1.54.json,,12,10,0.9179703000534722,0.9171967552370445,-0.0007735448164277736,-0.08426686749916792
H2-1083044-133-90-129-323-20-1.54,H2-1083044-133-90-129-323-20-1.54.json,,13,10,0.9179703000534722,0.916831166216757,-0.001139133836715267,-0.12409266799251696
H2-1083044-133-90-129-323-20-1.54,H2-1083044-133-90-129-323-20-1.54.json,,14,10,0.9179703000534722,0.9164401911734971,-0.0015301088799751783,-0.1666839199357592
H2-1083044-133-90-129-323-20-1.54,H2-1083044-133-90-129-323-20-1.54.json,,15,10,0.9179703000534722,0.9159723057827462,-0.001997994270726,-0.21765347643704985
H2-1131214-175-61-131-317-16-1.76,H2-1131214-175-61-131-317-16-1.76.json,,10,10,0.9385709617138397,0.9385709617138397,0.0,0.0
H2-1131214-175-61-131-317-16-1.76,H2-1131214-175-61-131-317-16-1.76.json,,11,10,0.9385709617138397,0.9379948883093411,-0.0005760734044986116,-0.06137771441881133
H2-1131214-175-61-131-317-16-1.76,H2-1131214-175-61-131-317-16-1.76.json,,12,10,0.9385709617138397,0.9369629065671902,-0.001608055146649523,-0.17133016172940177
H2-1131214-175-61-131-317-16-1.76,H2-1131214-175-61-131-317-16-1.76.json,,13,10,0.9385709617138397,0.9369271825434914,-0.001643779170348303,-0.1751363761933084
H2-1131214-175-61-131-317-16-1.76,H2-1131214-175-61-131-317-16-1.76.json,,14,10,0.9385709617138397,0.9362776598761512,-0.0022933018376884995,-0.24433973894748545
H2-1131214-175-61-131-317-16-1.76,H2-1131214-175-61-131-317-16-1.76.json,,15,10,0.9385709617138397,0.9360251713292719,-0.0025457903845678143,-0.2712411195759963
H2-1146138-73-103-307-361-7-3.92,H2-1146138-73-103-307-361-7-3.92.json,,10,10,0.8726154301214902,0.8726154301214902,0.0,0.0
H2-1146138-73-103-307-361-7-3.92,H2-1146138-73-103-307-361-7-3.92.json,,11,10,0.8726154301214902,0.8714765805797171,-0.0011388495417731237,-0.13050990189510708
H2-1146138-73-103-307-361-7-3.92,H2-1146138-73-103-307-361-7-3.92.json,,12,10,0.8726154301214902,0.8705960828578555,-0.00201934726363473,-0.23141319691694948
H2-1146138-73-103-307-361-7-3.92,H2-1146138-73-103-307-361-7-3.92.json,,13,10,0.8726154301214902,0.8699190330258358,-0.0026963970956543903,-0.30900176670941787
H2-1146138-73-103-307-361-7-3.92,H2-1146138-73-103-307-361-7-3.92.json,,14,10,0.8726154301214902,0.8694032403394713,-0.0032121897820189815,-0.36811058699383337
H2-1146138-73-103-307-361-7-3.92,H2-1146138-73-103-307-361-7-3.92.json,,15,10,0.8726154301214902,0.8687185953583526,-0.0038968347631376243,-0.44656954583018155
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,10,10,0.8805604734840586,0.8805604734840586,0.0,0.0
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,11,10,0.8805604734840586,0.8782651139903109,-0.002295359493747706,-0.2606702847637256
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,12,10,0.8805604734840586,0.8763528701925912,-0.00420760329146741,-0.4778324054019196
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,13,10,0.8805604734840586,0.874745520493966,-0.005814952990092603,-0.6603695220482634
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,14,10,0.8805604734840586,0.8733844643642588,-0.0071760091197998754,-0.8149365473341096
H2-124416-118-32-239-347-19-4.59,H2-124416-118-32-239-347-19-4.59.json,,15,10,0.8805604734840586,0.8721878512182012,-0.008372622265857443,-0.9508287639496253
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,10,10,0.8810524581463389,0.8810524581463389,0.0,0.0
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,11,10,0.8810524581463389,0.8792442988006395,-0.001808159345699445,-0.20522720627823476
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,12,10,0.8810524581463389,0.8777731546473697,-0.0032793034989692105,-0.3722029793627263
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,13,10,0.8810524581463389,0.8765662473737854,-0.004486210772553512,-0.5091877028516697
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,14,10,0.8810524581463389,0.8760418336034189,-0.005010624542920006,-0.5687089907747312
H2-1252803-55-130-380-378-19-4.09,H2-1252803-55-130-380-378-19-4.09.json,,15,10,0.8810524581463389,0.8751228540131126,-0.005929604133226296,-0.6730137437788539
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,10,10,0.8021761348758368,0.8021761348758368,0.0,0.0
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,11,10,0.8021761348758368,0.8015819452374666,-0.0005941896383702128,-0.07407221588089044
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,12,10,0.8021761348758368,0.8013322445263364,-0.0008438903495003869,-0.10520013159341952
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,13,10,0.8021761348758368,0.8007501674599944,-0.001425967415842444,-0.177762383327841
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,14,10,0.8021761348758368,0.8007766629091891,-0.0013994719666476918,-0.17445943675004819
H2-256112-42-111-232-352-6-3.12,H2-256112-42-111-232-352-6-3.12.json,,15,10,0.8021761348758368,0.8004274809356275,-0.0017486539402092882,-0.21798877630284402
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,10,10,0.811751697444754,0.811751697444754,0.0,0.0
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,11,10,0.811751697444754,0.8112251312613619,-0.0005265661833920854,-0.0648678881793065
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,12,10,0.811751697444754,0.8110046712788442,-0.0007470261659097144,-0.09202643718038611
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,13,10,0.811751697444754,0.8107665605670644,-0.0009851368776895297,-0.12135938622494546
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,14,10,0.811751697444754,0.8105194656649706,-0.001232231779783377,-0.15179910108746525
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,15,10,0.811751697444754,0.8104384239788994,-0.0013132734658545253,-0.16178265718303642
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,10,10,0.7662537847428178,0.7662537847428178,0.0,0.0
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,11,10,0.7662537847428178,0.7673151554980128,0.001061370755194968,0.13851425941748555
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,12,10,0.7662537847428178,0.7678792030235063,0.0016254182806885176,0.21212531840662505
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,13,10,0.7662537847428178,0.7685200347456548,0.002266250002836978,0.29575710397275395
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,14,10,0.7662537847428178,0.7692758066044845,0.0030220218616666683,0.3943891595499221
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,15,10,0.7662537847428178,0.7697220755165378,0.0034682907737200175,0.452629512934034
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,10,10,0.8754120936311134,0.8754120936311134,0.0,0.0
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,11,10,0.8754120936311134,0.8733430138633943,-0.002069079767719084,-0.2363549444624152
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,12,10,0.8754120936311134,0.8716388924956936,-0.0037732011354197903,-0.4310199919410487
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,13,10,0.8754120936311134,0.8702246324824033,-0.005187461148710049,-0.5925736217777194
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,14,10,0.8754120936311134,0.8690436054349443,-0.0063684881961690865,-0.7274846032516292
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,15,10,0.8754120936311134,0.8678918424393395,-0.007520251191773908,-0.8590526960372149
H2-495964-20-54-158-319-15-2.38,H2-495964-20-54-158-319-15-2.38.json,,10,10,0.9051276532625423,0.9051276532625423,0.0,0.0
H2-495964-20-54-158-319-15-2.38,H2-495964-20-54-158-319-15-2.38.json,,11,10,0.9051276532625423,0.9035508499619519,-0.0015768033005904014,-0.17420783630980635
H2-495964-20-54-158-319-15-2.38,H2-495964-20-54-158-319-15-2.38.json,,12,10,0.9051276532625423,0.9022884428683674,-0.002839210394174896,-0.31368065973246223
H2-495964-20-54-158-319-15-2.38,H2-495964-20-54-158-319-15-2.38.json,,13,10,0.9051276532625423,0.9012721227031235,-0.003855530559418785,-0.425965392342338
H2-495964-20-54-158-319-15-2.38,H2-495964-20-54-158-319-15-2.38.json,,14,10,0.9051276532625423,0.9004517713468205,-0.004675881915721769,-0.5165991668542556
H2-495964-20-54-158-319-15-2.38,H2-495964-20-54-158-319-15-2.38.json,,15,10,0.9051276532625423,0.8996158664404241,-0.00551178682211817,-0.6089513233023955
H2-652315-161-108-115-319-7-2.46,H2-652315-161-108-115-319-7-2.46.json,,10,10,0.8950501295855708,0.8950501295855708,0.0,0.0
H2-652315-161-108-115-319-7-2.46,H2-652315-161-108-115-319-7-2.46.json,,11,10,0.8950501295855708,0.895155487924818,0.00010535833924718574,0.011771222165619832
H2-652315-161-108-115-319-7-2.46,H2-652315-161-108-115-319-7-2.46.json,,12,10,0.8950501295855708,0.8945984015955006,-0.00045172799007020537,-0.050469574288466504
H2-652315-161-108-115-319-7-2.46,H2-652315-161-108-115-319-7-2.46.json,,13,10,0.8950501295855708,0.8946371861448752,-0.0004129434406956456,-0.04613634779169833
H2-652315-161-108-115-319-7-2.46,H2-652315-161-108-115-319-7-2.46.json,,14,10,0.8950501295855708,0.8944248097640973,-0.0006253198214735134,-0.06986422333272563
H2-652315-161-108-115-319-7-2.46,H2-652315-161-108-115-319-7-2.46.json,,15,10,0.8950501295855708,0.8947101970321212,-0.0003399325534496622,-0.03797916364830414
