hour,price_gbp_per_mwh,heuristic_charge_mw,heuristic_discharge_mw,heuristic_soc_mwh,lp_charge_mw,lp_discharge_mw,lp_soc_mwh
0,57.985071531289506,0.0,0.0,50.0,0.0,0.0,50.0
1,49.538953944688565,0.0,0.0,50.0,0.0,0.0,50.0
2,52.0873031828593,0.0,0.0,50.0,0.0,0.0,50.0
3,56.9700979135182,0.0,0.0,50.0,0.0,0.0,50.0
4,47.91783027229437,50.0,0.0,96.09772228646443,4.2326144546640405,0.0,53.90227771353556
5,45.83779844806526,4.232614454664048,0.0,100.0,50.0,0.0,100.0
6,53.89253765713702,0.0,0.0,100.0,0.0,0.0,100.0
7,59.03428052124178,0.0,0.0,100.0,0.0,0.0,100.0
8,62.927330518263574,0.0,0.0,100.0,0.0,-0.0,100.0
9,57.91636337528367,0.0,0.0,100.0,0.0,0.0,100.0
10,59.62260273787015,0.0,0.0,100.0,0.0,0.0,100.0
11,59.87797459391862,0.0,0.0,100.0,0.0,0.0,100.0
12,57.840398467144254,0.0,0.0,100.0,0.0,0.0,100.0
13,64.91782959951342,0.0,0.0,100.0,0.0,-0.0,100.0
14,71.39441422361537,0.0,0.0,100.0,0.0,-0.0,100.0
15,73.00934508998824,0.0,0.0,100.0,0.0,-0.0,100.0
16,82.53295665929534,0.0,0.0,100.0,0.0,0.0,100.0
17,83.12296895004533,0.0,0.0,100.0,0.0,-0.0,100.0
18,90.95739707379396,0.0,50.0,45.767385545335955,0.0,50.0,45.76738554533596
19,89.4698200637871,0.0,42.19544457292887,0.0,0.0,42.19544457292888,0.0
20,84.26159147331231,0.0,0.0,0.0,0.0,0.0,-0.0
21,75.0775061279324,0.0,0.0,0.0,0.0,0.0,-0.0
22,76.95965455112733,0.0,0.0,0.0,0.0,0.0,-0.0
23,72.0235118335296,0.0,0.0,0.0,-0.0,0.0,0.0
24,57.683676525395725,0.0,0.0,0.0,0.0,0.0,-0.0
25,53.04334162087428,50.0,0.0,46.09772228646444,50.0,0.0,46.09772228646444
26,54.12908072693898,50.0,0.0,92.19544457292888,50.0,0.0,92.19544457292888
27,55.69557855564267,0.0,0.0,92.19544457292888,8.465228909328081,0.0,100.0
28,59.739622767633534,0.0,0.0,92.19544457292888,0.0,0.0,100.0
