simulation,annual_revenue_gbp,npv_gbp
1,1446129.3428638927,-26181365.397697914
2,1457424.7383272462,-26084682.70095764
3,1447306.9737678848,-26171285.491072953
4,1514061.578738566,-25599900.87250546
5,1531527.1200026595,-25450404.944282353
6,1472649.4891482089,-25954366.770776622
7,1472730.6967518847,-25953671.676023662
8,1497961.2962948126,-25737710.896952365
9,1639869.133580937,-24523053.78805206
10,1414098.9815899527,-26455528.592388786
11,1503483.0957608921,-25690447.172103453
12,1584282.1461449694,-24998849.422336254
13,1537203.2296699628,-25401820.40455474
14,1489131.3693611927,-25813290.46835663
15,1514041.3503508223,-25600074.016959243
16,1502510.3314667845,-25698773.527347244
17,1481235.1298733978,-25880878.161967173
18,1478320.4013343973,-25905826.71877784
19,1506990.985587028,-25660421.46389705
20,1427776.3401016644,-26338457.53370066
21,1466457.4549766853,-26007367.355302688
22,1509673.2449868915,-25637462.72172843
23,1546876.2018215132,-25319024.805574637
24,1578628.076653032,-25047245.309652545
25,1436536.8121481799,-26263472.459922336
26,1421620.0860690717,-26391151.8588901
27,1425583.0150813346,-26357231.25246787
28,1387048.2563562645,-26687068.69851949
29,1597141.4507743635,-24888780.4784194
30,1405549.3079295107,-26528709.341874063
31,1503136.2092232853,-25693416.340029225
32,1500414.789981937,-25716710.27002646
33,1507769.8588417727,-25653754.714872465
34,1524712.7303323846,-25508732.5674363
35,1447339.2037409635,-26171009.61930527
36,1501260.7476133374,-25709469.3137096
37,1434511.9308503077,-26280804.388237055
38,1505611.7715681063,-25672226.8168981
39,1500217.2798400691,-25718400.853876427
40,1443395.2098479331,-26204768.150977977
41,1556359.848614529,-25237849.732966
42,1451141.6574531142,-26138462.59779429
43,1488560.975310462,-25818172.74407758
44,1503081.558504301,-25693884.121693656
45,1475723.0562585446,-25928058.63859979
46,1461668.7590972336,-26048356.095625818
47,1447238.2880712228,-26171873.404829696
48,1522823.7675282545,-25524901.104300536
49,1480023.3332023546,-25891250.509747066
50,1563277.0706456853,-25178641.91841066
51,1436971.4256376645,-26259752.39502161
52,1462424.6483765792,-26041886.077448826
53,1534623.872950355,-25423898.35342478
54,1524011.9105918105,-25514731.21906982
55,1498045.3186985727,-25736991.70897807
56,1428328.1585112044,-26333734.255784597
57,1396968.6964987866,-26602154.902544726
58,1490650.449382586,-25800287.935288258
59,1427095.9859869466,-26344281.01024583
60,1467030.80380024,-26002459.788266726
61,1489169.63504011,-25812962.93409346
62,1456508.7834390001,-26092522.797302686
63,1473022.0167554049,-25951178.12866216
64,1506248.0766832482,-25666780.376826026
65,1556093.0603323942,-25240133.30158112
66,1499223.4925861808,-25726907.15469642
67,1539597.684017004,-25381325.123602025
68,1459709.0366693367,-26065130.29798165
69,1448343.4240513102,-26162414.016960874
70,1424845.335656731,-26363545.403781287
71,1451944.2038416704,-26131593.219085373
72,1424755.8629613593,-26364311.24341047
73,1390397.1417940026,-26658403.984986864
74,1415449.8852261193,-26443965.561505575
75,1586953.0076914008,-24975988.239851173
76,1430494.5888724437,-26315190.741278693
77,1493789.5832800001,-25773418.585594796
78,1442196.006455344,-26215032.70685933
79,1586676.2682356657,-24978356.985324644
80,1436345.7812427667,-26265107.58488596
81,1433191.453058272,-26292106.989755865
82,1426823.8448127557,-26346610.396826424
83,1410532.343557594,-26486057.154614307
84,1454637.326266977,-26108541.495081984
85,1409314.1611331624,-26496484.16111424
86,1513908.8890238306,-25601207.816864602
87,1517766.6923151799,-25568187.03181009
88,1482701.4932430245,-25868326.8559561
89,1501910.1151766733,-25703911.065890595
90,1515279.7899519051,-25589473.619587492
91,1489666.3312234483,-25808711.4736978
92,1506506.0318258135,-25664572.415280797
93,1543438.6525378576,-25348448.435406785
94,1470088.8047242556,-25976284.894529954
95,1596646.4660118888,-24893017.289944652
