Scenario,cycle,Optimal Loss Cost ($\times 10^9$ USD),LCOS (USD/MWh)
14 d–5 TWh,25,6.536620739890799,55.952325824638045
14 d–5 TWh,128,10.901544248858782,20.770893175919078
14 d–5 TWh,257,14.866929752546735,16.471750129714767
14 d–5 TWh,385,17.660054620908518,15.10890782245431
14 d–5 TWh,514,19.6494561577081,14.433992303383933
14 d–5 TWh,642,21.065662623024195,14.078121306283576
14 d–5 TWh,771,22.07458879413307,13.842997771224155
60 d–15 TWh,6,5.952285319519845,70.76555152423519
60 d–15 TWh,30,9.010628007257582,24.417408267312595
60 d–15 TWh,60,11.880201149016068,18.794039252638484
60 d–15 TWh,90,13.923188351411312,16.984457881788902
60 d–15 TWh,120,15.376443273007146,16.126916539983394
60 d–15 TWh,150,16.41114187951768,15.646790864820904
60 d–15 TWh,180,17.147047608385115,15.35332888779313
180 d–50 TWh,2,10.677583060503459,114.2437167136836
180 d–50 TWh,10,13.648710655706415,33.28746487357136
180 d–50 TWh,20,16.70981857704803,23.790724070713168
180 d–50 TWh,30,18.90793359936813,20.758984993610724
180 d–50 TWh,40,20.476665567265286,19.32845656700436
180 d–50 TWh,50,21.596246742495676,18.530890201935698
180 d–50 TWh,60,22.390367294670337,18.043375993453264
360 d–100 TWh,1,16.745969665362242,179.18132046631098
360 d–100 TWh,5,19.646139018499515,47.91285770198374
360 d–100 TWh,10,22.21892408106467,31.63471131607994
360 d–100 TWh,15,24.293132310237056,26.67182957269644
360 d–100 TWh,20,25.78489686332325,24.339100865698327
360 d–100 TWh,25,26.853151157661664,23.042617708377367
360 d–100 TWh,30,27.615164051022948,22.25374933561242
360 d–150 TWh,1,25.346163215760257,180.80162850464458
360 d–150 TWh,5,29.720297195704152,48.32175338283302
360 d–150 TWh,10,33.590465110801354,31.88247252537615
360 d–150 TWh,15,36.71859238098768,26.876046893273646
360 d–150 TWh,20,38.97135621784101,24.522992626906245
360 d–150 TWh,25,40.58078810841965,23.214595605704787
360 d–150 TWh,30,41.73028433743138,22.417839395458255
