Student 1,Student 2,Number of shared papers,Shared paper titles
Dr Hamidreza Erfani,Dr Senyou An,4,Process-dependent solute transport in porous media || Lattice-Boltzmann simulation of dissolution of carbonate rock during CO2-saturated brine injection || Transition From Viscous Fingering to Capillary Fingering: Application of GPU-Based Fully Implicit Dynamic Pore Network Modeling || Unravelling effects of the pore-size correlation length on the two-phase flow and solute transport properties; GPU-based pore-network modelling
Dr Sharul Nizam Hasan,Dr Senyou An,3,Characterization of Unsaturated Solute Transport with X-Ray Synchrotron Microtomography || Direct characterization of solute transport in unsaturated porous media using fast X-ray synchrotron microtomography || Unravelling effects of the pore-size correlation length on the two-phase flow and solute transport properties; GPU-based pore-network modelling
Ehsan Vahabzadeh,Dr Farzaneh Nazari,3,"Evaluating Hydrogen Loss in Underground Storage: The Role of Microbial Activity, Mixing, and Operational Strategies || Applicability of the Vertical Equilibrium model to underground hydrogen injection and withdrawal || Implications of non-ideal gas dispersion for underground hydrogen storage"
Grace Esu-Ejienot Aguah,Dr Javad Shokri,2,"Modeling the Impact of Gas Diffusion Layer Absolute and Relative Permeability on Polymer Electrolyte Membrane Fuel Cells Performance || Characterisation of hydraulic properties of commercial gas diffusion layers: Toray, SGL, MGL, woven carbon cloth"
Dr Daniel Niblett,Dr Javad Shokri,1,Impact of Porous Microstructure on Performance of Redox Flow Batteries: A Modeling Study
Dr Hamidreza Erfani,Dr Javad Shokri,1,Impact of displacement direction relative to heterogeneity on averaged capillary pressure-saturation curves
Dr Javad Shokri,Dr Amna Al-Qenae,1,Enhanced dispersion in shear-thinning fluid flow through porous media
Dr Javad Shokri,Dr Farzaneh Nazari,1,Implications of non-ideal gas dispersion for underground hydrogen storage
Dr Omar E. Godinez Brizuela,Dr Javad Shokri,1,Impact of displacement direction relative to heterogeneity on averaged capillary pressure-saturation curves
Dr Omar E. Godinez Brizuela,Dr Senyou An,1,Transition From Viscous Fingering to Capillary Fingering: Application of GPU-Based Fully Implicit Dynamic Pore Network Modeling
Dr Rimsha Aziz,Dr Hamidreza Erfani,1,Impact of pore morphology on two-phase flow dynamics under wettability alteration
Dr Rimsha Aziz,Dr Omar E. Godinez Brizuela,1,Novel insights into pore-scale dynamics of wettability alteration during low salinity waterflooding
Dr Senyou An,Dr Javad Shokri,1,Upscaling the reaction rates in porous media from pore-to Darcy-scale
Dr Senyou An,Dr Takshak Shende,1,Enhanced thermal fingering in a shear-thinning fluid flow through porous media: Dynamic pore network modeling
Dr Takshak Shende,Dr Amna Al-Qenae,1,Enhanced dispersion in shear-thinning fluid flow through porous media
Grace Esu-Ejienot Aguah,Dr Daniel Niblett,1,"Characterisation of hydraulic properties of commercial gas diffusion layers: Toray, SGL, MGL, woven carbon cloth"
Qiuheng Xie,Dr Senyou An,1,Pore-Scale Transition Behavior of Digital Carbonate Rock Dissolution During CO2 Geo-Sequestration
Saleh Mohammadrezaei,Dr Javad Shokri,1,Exploring Carbonate Rock Dissolution Dynamics and the Influence of Rock Mineralogy in CO2 Injection
Tongke Zhou,Dr Senyou An,1,Interplay of pore geometry and wettability in immiscible displacement dynamics and entry capillary pressure
